3,529,5,4,4,3,1,0,5,1,3,2,2,3,5,1,32,0,2,3,3,2,1
3,1846,3,3,3,4,2,10,3,1,5,3,2,3,2,2,22,12,2,1,3,3,1
3,3240,5,4,5,4,1,0,4,1,5,5,1,4,1,2,61,0,2,5,4,1,2
4,163,2,1,5,3,4,0,3,1,4,2,2,5,5,5,52,7,1,4,4,2,1
3,2813,3,3,5,2,5,0,3,1,4,4,2,3,5,4,24,0,1,5,3,1,1
4,587,3,5,4,5,4,0,5,1,3,3,2,4,1,0,55,0,1,3,3,1,2
3,667,2,4,3,5,1,0,5,2,4,5,2,4,3,4,24,0,2,4,5,2,1
4,145,5,3,4,0,3,0,2,1,2,1,2,1,1,0,30,0,1,5,5,2,2
1,907,4,4,1,0,2,42,4,1,5,4,2,5,3,0,30,33,2,5,5,2,2
3,184,5,3,4,1,3,30,3,1,1,3,2,3,3,4,57,14,1,5,5,2,1
2,2388,2,2,2,3,1,0,4,1,2,2,2,2,2,1,15,7,1,2,4,1,1
4,391,3,3,5,3,2,0,5,1,1,4,2,3,4,2,26,0,1,3,5,2,1
2,198,4,3,5,4,3,42,4,1,3,4,2,4,4,5,23,65,2,4,4,2,1
3,765,1,4,4,3,2,0,5,1,2,4,2,3,3,1,45,0,1,2,2,2,1
4,544,4,4,3,1,1,0,5,1,2,4,2,4,3,0,40,0,1,3,3,2,1
5,1852,2,2,5,5,2,0,5,1,4,5,2,2,0,1,34,0,1,5,4,1,2
5,2827,2,2,4,3,4,0,2,1,1,2,2,2,4,4,18,0,1,2,2,1,1
5,946,3,4,4,3,4,9,4,1,4,2,2,3,4,3,67,1,1,4,3,2,1
5,1448,1,5,4,4,5,0,1,1,3,5,2,5,3,4,28,0,1,4,3,2,2
5,1208,4,2,3,2,3,17,1,2,5,4,2,1,5,1,41,22,1,4,4,1,1
5,1195,4,4,5,2,2,13,3,2,2,5,2,3,2,5,47,8,2,1,1,2,1
4,459,4,5,5,5,4,0,3,2,2,5,2,5,5,5,17,0,2,5,4,2,1
5,261,3,3,1,4,3,0,5,2,4,4,1,4,4,2,33,0,2,4,4,2,1
4,77,3,4,3,4,4,0,5,2,4,4,2,4,0,4,25,0,1,1,1,2,1
2,337,1,5,5,4,4,0,4,1,1,5,2,4,1,5,51,3,1,1,1,2,1
5,2418,4,4,4,4,1,0,5,1,1,4,1,4,4,5,33,0,2,5,5,1,2
5,1013,4,4,4,4,4,66,4,2,5,1,2,4,1,2,40,77,1,1,4,2,1
5,1594,2,2,1,5,4,12,4,1,2,5,1,2,2,5,40,16,2,3,4,1,2
5,1620,2,4,4,2,0,64,3,1,4,4,2,3,3,2,17,58,1,2,2,1,1
4,679,3,3,2,1,3,1,4,2,1,5,1,1,4,4,53,0,1,2,2,2,1
4,361,4,4,3,5,4,17,4,1,3,3,2,4,2,3,21,5,1,3,5,1,2
3,2334,5,5,2,5,3,0,3,1,1,3,1,5,3,1,69,0,2,4,4,1,2
3,771,2,2,5,3,1,0,3,1,4,2,2,2,2,2,60,4,1,2,3,3,1
5,2232,5,5,3,5,2,8,5,1,2,4,2,5,4,1,51,17,2,3,4,1,2
4,592,4,4,3,2,4,32,3,1,1,4,2,4,5,1,36,38,1,3,3,2,1
2,328,5,3,4,0,4,0,3,2,4,2,2,3,2,2,30,0,1,1,1,2,2
4,1905,2,2,4,4,1,1,1,1,4,4,2,2,3,3,40,2,1,3,5,1,2
1,390,5,3,5,2,2,48,3,1,3,4,1,3,5,1,46,38,1,2,2,2,1
4,569,2,5,2,3,2,2,4,2,2,4,2,4,2,4,29,0,2,5,5,2,1
1,589,3,4,5,3,3,62,4,2,2,4,2,4,4,4,23,68,1,3,3,2,1
1,409,3,3,3,4,2,64,1,1,5,4,2,3,1,4,30,45,1,5,5,1,2
3,3676,5,5,3,5,3,75,1,1,2,3,2,5,2,2,54,65,2,4,4,1,2
2,2795,2,2,4,4,2,50,2,1,5,1,2,2,5,2,65,44,2,2,3,1,1
3,2615,5,2,5,2,1,0,3,1,4,4,2,2,3,5,54,0,2,1,1,1,2
2,581,2,3,4,3,5,8,4,2,5,3,1,3,3,2,41,0,2,2,2,2,1
